OID_,type,edgeID,Length,FromNode,ToNode,Overlap,TravelTime
1,bus,1,833.889379411000050,1931,1035,0,3.213593782640000
2,bus,2,1752.847318260000065,1931,1987,0,6.960049507060000
3,bus,3,1643.977595329999986,264,1931,0,6.814201370890000
4,bus,4,1010.411856599999965,1930,1039,0,4.198109818550000
5,bus,5,1063.242517970000108,265,1930,0,4.478212057970000
6,bus,6,1091.500715030000038,1399,1949,0,4.412117550530000
7,bus,7,51.925148430299998,1984,614,1,0.302284697026000
8,bus,8,1739.368424609999920,1927,1928,0,6.808972871050000
9,bus,9,214.348355534000007,1410,4,1,0.676014692186000
10,bus,10,2204.779012129999956,1986,1074,0,8.466951310750000
11,bus,11,276.228717634000020,284,615,0,0.911951627928000
12,bus,12,968.168053398999973,1934,1933,0,4.460509340030000
13,bus,13,856.495841590000055,1111,1932,0,3.799145216200000
14,bus,14,100.746538346999998,14,636,0,0.350602088975000
15,bus,15,220.496396970000006,288,15,0,0.878071187175000
16,bus,16,123.508452262000006,16,14,0,0.448372039011000
17,bus,17,214.155007450999989,16,15,0,1.193877040130000
18,bus,18,159.054976963000001,1889,16,0,0.756343419889000
19,bus,19,1670.137234889999945,444,18,1,7.183664405860000
20,bus,20,227.251963227000005,24,19,1,0.995685130898000
21,bus,21,784.477779095999949,19,20,1,2.957603240510000
22,bus,22,152.047176890000003,22,20,1,0.830891903902000
23,bus,23,279.104955139000026,593,27,1,0.982651455297000
24,bus,24,132.955052751000011,30,653,1,0.586228608849000
25,bus,25,456.854353776999972,449,29,1,2.102095595300000
26,bus,26,105.437789658000000,452,30,1,0.417237601569000
27,bus,27,749.842175404000045,38,1925,1,3.112755458350000
28,bus,28,387.694135673999995,30,38,1,1.835980940790000
29,bus,29,1149.076589069999955,1926,1925,1,4.565368315880000
30,bus,30,125.840233609999999,1926,1496,0,0.510382714239000
31,bus,31,65.043745717500002,667,38,1,0.317557994647000
32,bus,32,239.241462313000000,1924,1923,1,1.046928228700000
33,bus,33,429.500052503999996,1921,1923,0,2.074559544470000
34,bus,34,266.657315745000005,1923,1922,1,1.036131111580000
35,bus,35,382.756418710999981,1924,36,1,1.862017365310000
36,bus,36,207.348943028000008,44,39,0,0.809963136548000
37,bus,37,207.745736029000000,41,671,0,0.869844417469000
38,bus,38,208.585659660000005,40,681,1,0.760188913215000
39,bus,39,476.457096504999981,696,1983,0,2.208836240060000
40,bus,40,553.652689009000028,1952,36,1,2.395349906620000
41,bus,41,816.446242785999971,1975,696,0,3.766757216190000
42,bus,42,73.456633804099994,48,1951,0,0.288560704859000
43,bus,43,376.354191464999985,48,708,0,1.698250554250000
44,bus,44,1707.391946290000078,459,1935,0,7.694782023520000
45,bus,45,466.440031530999988,1549,1935,1,2.031108825730000
46,bus,46,165.964452835000003,1942,1941,1,0.629457084284000
47,bus,47,1145.427796790000002,51,1935,0,4.591885419930000
48,bus,48,572.391318338000019,1941,1939,1,2.271066415110000
49,bus,49,335.892404662999979,1938,1939,1,1.495468652860000
50,bus,50,308.016842978000000,1937,1938,1,1.205200916300000
51,bus,51,331.844268800999998,470,1981,1,1.046574864870000
52,bus,52,518.314461039999969,1936,594,1,2.458701910150000
53,bus,53,320.370991745000026,594,1940,1,1.545473822350000
54,bus,54,289.993096736999973,1939,1940,1,1.275245560370000
55,bus,55,65.589932458899995,1940,733,1,0.293524539604000
56,bus,56,299.523935139999992,594,58,1,1.210589620940000
57,bus,57,412.259912901000007,62,63,0,2.133859441750000
58,bus,58,91.198575872399999,291,64,0,0.287623280536000
59,bus,59,540.358694808999985,1970,1920,0,2.426339099440000
60,bus,60,551.545666039000025,768,74,0,2.088028749500000
61,bus,61,124.680267174999997,501,79,0,0.540732906166000
62,bus,62,446.961771353000017,86,1136,0,0.704816987113000
63,bus,63,371.282164759000011,504,86,0,1.783709203020000
64,bus,64,670.115450080999949,88,89,0,4.175564847940000
65,bus,65,621.731197310999960,93,94,1,2.923733495800000
66,bus,66,314.224417082999992,88,95,0,1.210416414240000
67,bus,67,159.242273414000010,95,97,0,0.758674108637000
68,bus,68,404.405903916999989,100,99,0,1.657955906580000
69,bus,69,788.428141482999990,510,797,0,3.893924020450000
70,bus,70,170.633736416000005,104,100,0,0.827504108116000
71,bus,71,365.412817495000013,597,104,0,1.566976958600000
72,bus,72,209.582780867999986,324,107,1,1.281480352380000
73,bus,73,286.131837464999990,520,107,1,1.326908545400000
74,bus,74,843.156609796999987,116,1973,0,3.321635596820000
75,bus,75,41.356071872299999,321,1979,1,0.159306742255000
76,bus,76,163.830702659999986,1979,1959,1,0.883049864665000
77,bus,77,323.401532529000008,1961,1959,1,1.488148682260000
78,bus,78,474.550649264000015,1954,1980,1,2.333268327780000
79,bus,79,770.068225913999981,314,825,1,2.966361523970000
80,bus,80,277.385358137000026,119,115,1,1.488991060780000
81,bus,81,607.737524268000016,1963,1964,0,2.341051283500000
82,bus,82,218.411360516000002,128,120,0,1.188393025060000
83,bus,83,1204.025717949999944,1991,1990,0,5.261447538620000
84,bus,84,2202.354874470000141,128,122,0,12.921894197100000
85,bus,85,338.728534939999975,138,134,0,1.642445193470000
86,bus,86,588.656572761999996,156,135,0,2.483907483920000
87,bus,87,957.149304032000032,156,136,0,3.986292492190000
88,bus,88,302.299513161999982,336,849,0,1.402610710160000
89,bus,89,128.872389375000012,147,138,0,0.606747149256000
90,bus,90,213.293601271999989,140,139,0,0.866329314398000
91,bus,91,92.488449883100003,141,137,0,0.413929661346000
92,bus,92,264.185513556999979,142,141,0,1.545283703240000
93,bus,93,122.005904326999996,147,142,0,0.582303803168000
94,bus,94,567.205370489999950,523,144,0,2.414977756810000
95,bus,95,802.186520051000002,598,146,0,3.127036118510000
96,bus,96,272.031519467000010,598,150,0,1.197549997330000
97,bus,97,659.666484199000024,530,151,0,2.802420115970000
98,bus,98,858.347522038999955,343,158,0,4.153918366210000
99,bus,99,368.108405495999989,1893,894,0,1.568782677070000
100,bus,100,178.772071256999993,163,162,0,0.720596855754000
101,bus,101,555.419128930000056,165,157,0,2.100044939150000
102,bus,102,340.015851979999979,1894,167,1,1.395177941900000
103,bus,103,124.495156684999998,348,1885,1,0.597522023827000
104,bus,104,341.754576133000000,352,170,0,1.612495004850000
105,bus,105,540.359327451000013,1918,170,0,2.407519506490000
106,bus,106,407.147722061000024,1777,174,1,1.381300869530000
107,bus,107,276.994124892999992,179,174,1,1.047683410110000
108,bus,108,241.956442248999991,1945,1992,1,0.913698682931000
109,bus,109,347.122869052999988,1993,1945,1,1.501153415060000
110,bus,110,59.743532337700003,1993,1994,1,0.234009313795000
111,bus,111,460.723609248999992,1956,1994,0,1.788684037770000
112,bus,112,319.926715703000013,191,190,1,1.232382103320000
113,bus,113,250.745161297999999,1895,190,1,1.140188504380000
114,bus,114,1243.433805099999972,194,192,0,5.372643399250000
115,bus,115,353.131248410000012,547,195,1,1.223312230830000
116,bus,116,338.957122380999976,1290,208,1,1.226901924340000
117,bus,117,271.748951761999990,208,209,1,1.044129951180000
118,bus,118,310.876027049000015,385,210,1,1.127658802800000
119,bus,119,554.211432154000022,1915,1916,1,2.225323974590000
120,bus,120,146.158437792000001,214,213,0,0.539121529061000
121,bus,121,192.704340094000003,1915,215,0,0.754059958369000
122,bus,122,637.632079914999963,208,216,1,2.398138392240000
123,bus,123,1908.305214740000110,217,222,0,8.061762373010000
124,bus,124,783.143855324000015,222,223,0,3.205654098210000
125,bus,125,564.295073855000055,584,242,0,2.085895136170000
126,bus,126,339.160927410999989,230,229,0,1.398582648990000
127,bus,127,337.283322392999992,562,230,0,1.486569878620000
128,bus,128,298.599488929000017,569,230,0,1.142695500260000
129,bus,129,279.639962860000026,590,231,1,1.349094983360000
130,bus,130,129.618442856999991,235,231,1,0.576088419293000
131,bus,131,468.852258142999972,228,235,1,2.168566149140000
132,bus,132,800.644654730999946,1957,1381,0,3.223059570100000
133,bus,133,421.410947732000011,235,239,1,2.037213441290000
134,bus,134,1403.508072769999899,246,584,0,6.025983936210000
135,bus,135,372.981829699000002,237,243,0,1.638039403070000
136,bus,136,254.128688949999997,570,243,0,1.103415629890000
137,bus,137,88.639019757200003,249,244,0,0.326362670133000
138,bus,138,376.249703028999988,247,246,0,1.553851262950000
139,bus,139,704.460579677000055,1906,1957,0,3.041188143830000
140,bus,140,222.129463358999999,591,247,0,0.940719503216000
141,bus,141,285.687068651999994,1903,1904,0,1.143611146950000
142,bus,142,225.605020023999998,1904,1906,0,1.010556295100000
143,bus,143,381.817594837999991,1903,1905,0,1.344108788250000
144,bus,144,365.514128968000023,1965,1907,1,1.274000493710000
145,bus,145,344.992166097999984,607,1886,0,1.088040878080000
146,bus,146,301.342682197999977,257,1028,0,1.425162456100000
147,bus,147,403.369531575999986,259,258,0,1.475207773170000
148,bus,148,263.323711838999998,1910,1911,1,0.985919016043000
149,bus,149,260.775134869999988,1908,1909,0,1.046294249920000
150,bus,150,267.836943873999985,1912,406,1,0.600477788742000
151,bus,151,386.311589320999985,1943,1944,1,1.894481168350000
152,bus,152,166.398906436000004,1945,1946,1,0.772573822107000
153,bus,153,78.139998442999996,1930,608,0,0.308353981216000
154,bus,154,1082.935848339999893,608,1,0,4.391748703500000
155,bus,155,12.647296065700001,1949,612,0,0.045134828391700
156,bus,156,354.717374232999987,612,2,0,0.658508382321000
157,bus,157,100.346065593999995,273,609,0,0.166833188629000
158,bus,158,199.445495415000011,610,1949,0,0.343349059124000
159,bus,159,460.774595116000000,611,610,0,0.803957849611000
160,bus,160,66.403433179399997,609,611,0,0.137691063885000
161,bus,161,388.645110852000016,277,613,1,1.723024376060000
162,bus,162,498.896528424999985,613,1984,1,2.085229377980000
163,bus,163,280.330797698000026,1984,1948,1,1.361994620400000
164,bus,164,542.812561824999989,1948,1947,1,2.556243760480000
165,bus,165,160.135426857999988,7,617,1,0.647075841838000
166,bus,166,262.554350667999984,621,6,1,1.367566704890000
167,bus,167,137.279603527000006,620,618,1,0.547417616830000
168,bus,168,146.203217509000012,618,621,1,0.586491399780000
169,bus,169,506.795540080000023,622,619,1,2.262147368370000
170,bus,170,588.061474923999981,619,620,1,2.206409663520000
171,bus,171,268.897664808999991,617,622,1,1.124908258240000
172,bus,172,415.173049515999992,7,616,0,1.737833075120000
173,bus,173,350.958173142000021,616,5,0,1.500573520010000
174,bus,174,177.079209049000013,1933,631,0,0.794136633488000
175,bus,175,258.608735874999979,630,13,0,1.143726338460000
176,bus,176,411.079431563000014,631,630,0,1.627671526470000
177,bus,177,356.132549104000020,436,623,1,1.665146720300000
178,bus,178,72.815650205799997,624,7,1,0.268986238564000
179,bus,179,578.423963697999966,623,624,1,2.310058269280000
180,bus,180,116.524017732999994,1932,632,0,0.481101694414000
181,bus,181,240.230152155000013,632,1933,0,1.013401575460000
182,bus,182,220.657550910999987,10,626,0,0.851269066187000
183,bus,183,91.349890669399997,626,11,0,0.313680209835000
184,bus,184,23.090917981699999,592,625,0,0.099211890648700
185,bus,185,169.251436570999999,625,8,0,0.807220852114000
186,bus,186,299.706641681999997,592,9,0,1.305173101620000
187,bus,187,149.555570267000007,9,10,0,0.628389070311000
188,bus,188,178.803639299999986,440,629,0,0.773131254247000
189,bus,189,256.663756327999977,634,1932,0,1.005441220140000
190,bus,190,130.330932364000006,633,634,0,0.529807893132000
191,bus,191,258.390749710000023,629,633,0,0.860417172558000
192,bus,192,167.524821371000002,12,628,0,0.605752189263000
193,bus,193,115.124883326000003,628,10,0,0.456698233461000
194,bus,194,641.056160030999990,592,627,1,2.508908468610000
195,bus,195,124.767069011999993,627,12,0,0.531094862537000
196,bus,196,454.449183108000000,12,1456,1,1.890192222160000
197,bus,197,762.291115335999962,1456,1460,1,2.960901149150000
198,bus,198,226.089399170999997,447,640,1,0.903628102337000
199,bus,199,196.501816902999991,642,21,0,0.784515791953000
200,bus,200,724.251352741000005,641,642,0,2.859043279870000
201,bus,201,306.366832659000011,643,641,0,1.163088991610000
202,bus,202,381.209169078999992,640,643,1,1.337278558000000
203,bus,203,33.466797042600000,15,635,0,0.121649164801000
204,bus,204,76.194622471800002,635,14,0,0.325560915918000
205,bus,205,174.909196212000012,19,637,1,0.568135859721000
206,bus,206,130.146355599999993,639,17,1,0.559989248997000
207,bus,207,493.181769821999978,638,639,1,1.843396842360000
208,bus,208,405.181067487999997,637,638,1,1.538680267210000
209,bus,209,34.849734027099998,593,651,1,0.142553693337000
210,bus,210,439.505134806000001,651,649,1,2.009302819970000
211,bus,211,62.950577267500002,649,25,1,0.288119480320000
212,bus,212,642.444734994999976,646,23,1,3.332022480130000
213,bus,213,472.084156662999987,25,646,1,2.366867920380000
214,bus,214,490.361637276000010,1925,647,1,2.009025899500000
215,bus,215,21.109591512800002,647,24,1,0.071174770488900
216,bus,216,138.297032322999996,24,644,1,0.564198753507000
217,bus,217,284.189112410999996,644,645,1,1.124295152650000
218,bus,218,134.208858364000008,645,22,1,0.763086909502000
219,bus,219,280.317546691000018,653,650,1,1.208350166210000
220,bus,220,178.900357308999986,650,648,1,0.682706746170000
221,bus,221,66.075528304900004,648,22,1,0.268853776545000
222,bus,222,316.439900358999978,653,26,1,1.257198848260000
223,bus,223,480.206842612999992,26,20,1,1.746615700060000
224,bus,224,559.623001055000032,27,652,0,1.868860620360000
225,bus,225,245.650796904999993,652,28,0,0.832806735098000
226,bus,226,323.056458711000005,671,673,0,1.571641851600000
227,bus,227,83.943966982700005,675,27,1,0.397137240452000
228,bus,228,179.392388573999995,674,672,1,0.884806283149000
229,bus,229,257.284774273999972,673,674,0,1.171724762360000
230,bus,230,621.704582589999973,672,675,1,2.363153676710000
231,bus,231,121.615113089999994,593,658,1,0.539968641538000
232,bus,232,160.509744584000003,658,660,1,0.700534455642000
233,bus,233,374.331709726999975,660,659,1,1.589398823380000
234,bus,234,362.679817112000023,659,34,1,1.540554878770000
235,bus,235,651.492172634999974,593,654,1,2.473026980680000
236,bus,236,153.854345760000001,654,32,1,0.547627080328000
237,bus,237,162.411343084000009,1922,31,1,0.599131888650000
238,bus,238,81.326134748399994,35,663,1,0.368831410713000
239,bus,239,151.092475898000004,1890,1968,0,0.609692076048000
240,bus,240,864.480643095000005,664,662,1,3.871633310440000
241,bus,241,150.650321885000011,663,664,1,0.590576599066000
242,bus,242,244.883694590999994,662,1890,0,0.982945946677000
243,bus,243,131.838461026000004,32,655,1,0.659898108623000
244,bus,244,213.812077942999991,655,656,1,0.894254758057000
245,bus,245,44.102176512100002,657,34,1,0.207497942492000
246,bus,246,336.327659582000024,656,657,1,1.624464607130000
247,bus,247,1297.727163790000077,1983,1926,0,5.009708875560000
248,bus,248,347.353070188999993,32,33,1,1.621474692490000
249,bus,249,259.677345299000024,33,1924,1,1.023650636620000
250,bus,250,844.517197153999973,1921,1922,0,3.484124053080000
251,bus,251,176.118961460000008,36,665,1,0.655740832669000
252,bus,252,140.757843871999995,665,37,1,0.601460290403000
253,bus,253,435.515204211000025,661,34,1,2.064508344690000
254,bus,254,162.725973533000001,37,661,1,0.929017359380000
255,bus,255,172.868337136999997,34,676,1,0.736467700023000
256,bus,256,202.819207357000010,676,1943,1,0.866079100927000
257,bus,257,79.129271973000002,39,666,0,0.261493682030000
258,bus,258,83.515411984300002,666,1921,0,0.351128538595000
259,bus,259,141.834193457999987,39,668,0,0.702462941651000
260,bus,260,139.334199418999987,668,36,1,0.595297089306000
261,bus,261,648.563587554000037,453,669,1,2.770733595300000
262,bus,262,64.299435913899998,670,1983,0,0.223474419209000
263,bus,263,485.413534759000015,669,670,0,1.937184138070000
264,bus,264,191.064171894999987,455,43,0,0.933563989879000
265,bus,265,296.091280627000003,685,671,0,1.273340230380000
266,bus,266,255.032647112999996,684,685,0,0.977074144151000
267,bus,267,15.845921853400000,43,684,0,0.049475048801500
268,bus,268,351.298211369000001,1952,689,0,1.485863193700000
269,bus,269,21.224445853399999,690,44,0,0.078788582139500
270,bus,270,85.079879551000005,689,690,0,0.297255349500000
271,bus,271,186.508652321999989,696,697,0,0.794005128126000
272,bus,272,348.058280513000000,697,695,0,1.340747036000000
273,bus,273,51.906320289600004,695,44,0,0.163702842719000
274,bus,274,71.064216059100005,1943,678,1,0.235650786065000
275,bus,275,279.443637575000025,680,677,1,1.345566261710000
276,bus,276,199.622943356000007,679,680,1,0.736611812013000
277,bus,277,69.044734210700000,678,679,1,0.277016657226000
278,bus,278,40.084464540900001,677,40,1,0.188594862565000
279,bus,279,97.416770754699996,40,682,1,0.421999092237000
280,bus,280,21.545451752400002,683,41,1,0.090731229578400
281,bus,281,299.991791879000004,682,683,1,1.105808482470000
282,bus,282,7.948320343950000,47,700,1,0.025297110751300
283,bus,283,509.523148993000007,703,702,1,2.100672631600000
284,bus,284,220.270171564000009,702,701,1,0.953902533768000
285,bus,285,169.930243622999996,701,46,1,0.803832681167000
286,bus,286,128.409755082999993,686,40,1,0.505831166730000
287,bus,287,148.580305638999988,46,686,1,0.596441421401000
288,bus,288,423.571209375000024,700,703,1,1.807131770240000
289,bus,289,135.652082925000002,454,687,1,0.588925298307000
290,bus,290,233.649431662000012,687,41,1,0.940219635739000
291,bus,291,348.340062627000009,456,688,1,1.504945232990000
292,bus,292,25.000715052200000,688,1952,1,0.150533789984000
293,bus,293,303.771597858000007,1975,698,0,1.429226095580000
294,bus,294,126.842193533000000,694,692,0,0.488605801214000
295,bus,295,300.069258402000003,693,696,0,1.306600634740000
296,bus,296,213.721840974000003,692,693,0,0.823272827736000
297,bus,297,163.916438082000013,698,694,0,0.631418618131000
298,bus,298,54.787264066399999,457,691,0,0.248439289816000
299,bus,299,95.167577589399997,691,1975,0,0.450487356475000
300,bus,300,226.721660758000013,463,699,0,0.891525088805000
301,bus,301,56.454002439299998,699,45,0,0.217040268626000
302,bus,302,88.851848300300006,1891,717,0,0.312752251695000
303,bus,303,501.440035134000027,717,720,0,1.735414366220000
304,bus,304,891.644965748000004,720,719,0,4.220081978840000
305,bus,305,531.382731537000041,722,718,1,2.300531288400000
306,bus,306,391.043187488000001,719,722,1,1.356504584000000
307,bus,307,482.962668721000000,721,466,1,1.981527546230000
308,bus,308,225.696176780999991,718,721,1,0.884923403599000
309,bus,309,314.076326307999977,47,704,1,1.529147085610000
310,bus,310,224.483546598000004,704,705,1,0.813221664618000
311,bus,311,53.376979814000002,460,706,1,0.196637024704000
312,bus,312,132.680897200000004,707,47,1,0.598442693326000
313,bus,313,541.158297682000011,706,707,1,2.158907465140000
314,bus,314,552.757723436999981,295,763,0,3.091024714360000
315,bus,315,248.688895194999986,715,713,0,1.065973705000000
316,bus,316,750.074329643000056,714,715,0,2.756476786110000
317,bus,317,571.795651957000018,713,712,0,2.501018721780000
318,bus,318,65.941095981700002,711,714,0,0.215291855063000
319,bus,319,304.330989875999990,739,738,0,1.369824306230000
320,bus,320,223.029958362000002,738,56,1,1.050573099570000
321,bus,321,499.761740872000018,737,739,0,2.314457290490000
322,bus,322,443.600222582000015,716,711,1,1.750229045760000
323,bus,323,60.399378483400000,56,716,1,0.247199305082000
324,bus,324,304.399467812000012,764,479,0,1.355273191460000
325,bus,325,51.604235951000000,763,764,0,0.237853799329000
326,bus,326,377.910702884999978,736,737,0,1.613360198680000
327,bus,327,228.319889952000011,479,736,0,0.879505625501000
328,bus,328,193.852736338999989,708,709,0,0.770522764491000
329,bus,329,14.121674411800001,709,1951,0,0.061422476640100
330,bus,330,482.858604781999986,708,1950,0,1.897334562620000
331,bus,331,993.647615797999947,1950,1951,0,3.839595520660000
332,bus,332,167.768804377999999,461,710,0,0.984888812929000
333,bus,333,261.354494982999995,710,48,0,1.188501670390000
334,bus,334,265.944648810999979,480,745,0,1.076963179580000
335,bus,335,429.052683560999981,747,749,0,1.623392773200000
336,bus,336,234.757925841999992,749,746,0,1.012340688600000
337,bus,337,201.781465239999989,748,59,0,0.906278998457000
338,bus,338,227.510157961000004,746,748,0,0.952698393077000
339,bus,339,161.314548088999999,59,49,0,0.621395939483000
340,bus,340,542.224731650999956,745,747,0,2.237618924510000
341,bus,341,88.644551767799996,585,725,0,0.449553084440000
342,bus,342,220.070583426000013,726,50,1,1.356626542440000
343,bus,343,354.831499372999986,725,726,0,1.119072298120000
344,bus,344,895.723863995999977,1981,1982,1,2.824945825660000
345,bus,345,244.799705305000003,51,723,0,1.015165367280000
346,bus,346,104.955414613000002,724,1558,1,0.404296259946000
347,bus,347,266.419531337000024,723,724,1,1.200471357500000
348,bus,348,128.276730066999988,1938,732,1,0.545017796995000
349,bus,349,126.658394259999994,732,1941,1,0.540327855798000
350,bus,350,96.818700691600000,64,750,0,0.363680513942000
351,bus,351,328.882663128999980,743,727,0,1.270380518460000
352,bus,352,172.422161746999990,727,51,0,0.965877316286000
353,bus,353,189.335259129999997,750,61,0,0.792103456884000
354,bus,354,462.763083076999976,61,743,0,2.104094317630000
355,bus,355,193.467783733999994,50,728,1,0.745252654874000
356,bus,356,212.312802121999994,729,52,1,0.950200445493000
357,bus,357,61.490947878900002,728,729,1,0.236867819918000
358,bus,358,180.885408439000003,52,740,1,0.831618385785000
359,bus,359,432.669844472000023,755,754,1,1.794486536970000
360,bus,360,75.885239431700001,754,71,1,0.356445948389000
361,bus,361,239.625111269999991,740,755,1,1.159296283260000
362,bus,362,217.351671963999991,50,730,1,0.837255213484000
363,bus,363,177.546243459000010,730,53,1,0.869186178404000
364,bus,364,174.029440488000006,53,741,1,0.738608667170000
365,bus,365,333.413949553000009,741,752,1,1.284335956510000
366,bus,366,84.471956985199995,594,731,1,0.344586938368000
