OID_,X,Y,type,nodeID,Z,Pop,Service_S
0,664193.451600000029430,2919956.764200000092387,Bus_I,1,1132.085215950000020,0.000000000000000,0.0000000
1,665687.358299999963492,2922502.095399999991059,Bus_I,2,1100.706045590000031,0.000000000000000,0.0000000
2,666947.947099999990314,2925299.444399999920279,Bus_I,4,1095.918938410000010,0.000000000000000,0.0000000
3,665385.322000000043772,2928902.275200000032783,Bus_I,5,1124.824033260000078,0.000000000000000,0.0000000
4,666649.303799999994226,2927555.839000000152737,Bus_I,6,1093.671227069999986,0.000000000000000,0.0000000
5,666018.668500000028871,2929276.101199999917299,Bus_I,7,1126.000000000000000,0.000000000000000,0.0000000
6,664714.662800000049174,2930132.125000000000000,Bus_I,8,1128.964044759999979,0.000000000000000,0.0000000
7,664927.662999999942258,2930369.980599999893457,Bus_I,9,1136.637776009999925,0.000000000000000,0.0000000
8,665077.196600000024773,2930371.907899999991059,Bus_I,10,1138.738498120000031,0.000000000000000,0.0000000
9,665101.134300000034273,2930061.983200000133365,Bus_I,11,1125.900883139999905,0.000000000000000,0.0000000
10,665053.687999999965541,2930648.598799999803305,Bus_I,12,1140.559634299999971,0.000000000000000,0.0000000
11,669571.164100000052713,2929078.882499999832362,Bus_I,13,1115.543166079999992,0.000000000000000,0.0000000
12,669174.759199999971315,2931910.120300000067800,Bus_I,14,1082.795179080000025,0.000000000000000,0.0000000
13,669065.112500000046566,2931908.670899999793619,Bus_I,15,1082.751893289999998,0.000000000000000,0.0000000
14,669193.083499999949709,2932032.242800000123680,Bus_I,16,1084.099425019999899,0.000000000000000,0.0000000
15,666668.212900000042282,2932231.779800000134856,Bus_I,17,1087.384300259999918,0.000000000000000,0.0000000
16,666663.738600000040606,2932575.197800000198185,Bus_I,18,1097.875804840000001,0.000000000000000,0.0000000
17,667830.927299999981187,2932512.899300000164658,Bus_I,19,1082.901523550000093,0.000000000000000,0.0000000
18,668535.690900000045076,2932743.765300000086427,Bus_I,20,1073.478211090000059,0.000000000000000,0.0000000
19,670510.675000000046566,2931163.327800000086427,Bus_I,21,1094.441152289999991,0.000000000000000,0.0000000
20,668444.381199999945238,2932864.442400000058115,Bus_I,22,1098.928182030000016,0.000000000000000,0.0000000
21,669186.343899999978021,2932541.834799999836832,Bus_I,23,1077.263329749999912,0.000000000000000,0.0000000
22,667978.691899999976158,2932647.798400000203401,Bus_I,24,1083.227874200000088,0.000000000000000,0.0000000
23,669919.221999999950640,2932906.111599999945611,Bus_I,25,1082.301980920000005,0.000000000000000,0.0000000
